"model","manufacturer","resolution_x","resolution_y","pixel_size_um","sensor_format","color_mode","shutter_type","max_fps","interface","bandwidth_mbps","bit_depth","dynamic_range_db","lens_mount"
"A3051CG000E","iRAYPLE","800","600","4.8","1/3.6""","Color","Global","120","GigE","120","10","60","C"
"A3051MG000E","iRAYPLE","800","600","4.8","1/3.6""","Color","Global","120","GigE","120","10","60","C"
"A3051MG100E","iRAYPLE","800","600","4.8","1/3.6""","Mono","Global","120","GigE","120","10","60","C"
"A3131CG000E","iRAYPLE","1280","1024","4.8","1/2""","Color","Global","60","GigE","120","10","60","C"
"A3131MG000E","iRAYPLE","1280","1024","4.8","1/2""","Mono","Global","60","GigE","120","10","60","C"
"A3131MG100E","iRAYPLE","1280","1024","4.8","1/2""","Mono","Global","60","GigE","120","10","60","C"
"A3138CG000E","iRAYPLE","1280","1024","4","1/2.7""","Mono","Global","92","GigE","120","10","60","C"
"A3138CU000E","iRAYPLE","1280","1024","4","1/2.7""","Color","Global","201","USB3","380","10","60","C"
"A3138MG000E","iRAYPLE","1280","1024","4","1/2.7""","Mono","Global","92","GigE","120","10","60","C"
"A3138MU000E","iRAYPLE","1280","1024","4","1/2.7""","Mono","Global","201","USB3","380","10","60","C"
"A3139CG000E","iRAYPLE","1280","1024","4.8","1/2""","Color","Global","92","GigE","120","10","58","C"
"A3139CU000E","iRAYPLE","1280","1024","4.8","1/2""","Color","Global","210","USB3","380","10","60","C"
"A3139MG000E","iRAYPLE","1280","1024","4.8","1/2""","Mono","Global","92","GigE","120","10","58","C"
"A3504CG000E","iRAYPLE","2592","1944","2.2","1/2.5""","Color","Rolling","23","GigE","120","12","74.3","C"
"A3504CG100E","iRAYPLE","2592","1944","2.2","1/2.5""","Color","Rolling","23","GigE","120","12","74.3","C"
"A3504CU000E","iRAYPLE","2592","1944","2.2","1/2.5""","Color","Rolling","48","USB3","380","12","63","C"
"A3504MG000E","iRAYPLE","2592","1944","2.2","1/2.5""","Mono","Rolling","23","GigE","120","12","74.3","C"
"A3504MG100E","iRAYPLE","2592","1944","2.2","1/2.5""","Mono","Rolling","23","GigE","120","12","74.3","C"
"A3504MU000E","iRAYPLE","2592","1944","2.2","1/2.5""","Mono","Rolling","48","USB3","380","12","63","C"
"A3514MG000E","iRAYPLE","2592","1944","2.2","1/2.5""","Mono","Rolling","14","GigE","120","10","0","C"
"A3600CG18E","iRAYPLE","3072","2048","2.4","1/1.8""","Color","Rolling","19","GigE","120","12","66","C"
"A3600CU60E","iRAYPLE","3072","2048","2.4","1/1.8""","Color","Rolling","60","USB3","380","10","66","C"
"A3600MG100E","iRAYPLE","3072","2048","2.4","1/1.8""","Mono","Rolling","18","GigE","120","12","73","C"
"A3600MG18E","iRAYPLE","3072","2048","2.4","1/1.8""","Mono","Rolling","19","GigE","120","12","73","C"
"A3600MU60E","iRAYPLE","3072","2048","2.4","1/1.8""","Mono","Rolling","60","USB3","380","10","66","C"
"A3A20CG8E","iRAYPLE","4000","3000","1.85","1/1.7""","Color","Rolling","10","GigE","120","12","60","C"
"A3A20CU24E","iRAYPLE","4000","3000","1.85","1/1.7""","Color","Rolling","30","USB3","380","10","66","C"
"A3A20MG8E","iRAYPLE","4000","3000","1.85","1/1.7""","Mono","Rolling","10","GigE","120","12","60","C"
