"source_page","series","model","pl_id","pl_proid","text0","text1","text2","text3","text4","text5","text6","text7","text8","text9","source_url"
"003000000","DTCA large-format line-scan lens","DTCA24K-62-M95-AL","101","642","88","62","1.419","123±3","7","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-62-M90-AL","218","642","88","62","1.419","123±3","7","M90","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-75-M95-AL","219","642","88","75","1.173","152±3","7","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-75-M90-AL","102","642","88","75","1.173","152±3","7","M90","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-88-M95-ALV2","100","642","88","88","1","162","8","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-88-M90-ALV2","217","642","88","88","1","162±3","8","M90","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-92-M95-AL","103","642","88","91.6","0.96","150±3","8","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-92-M90-AL","220","642","88","91.6","0.96","150±3","8","M90","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA16K-62-M72-AL","109","512","62","62","1","102±2","7","M72","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA16K-72.7-M72-AL","110","512","62","72.7","0.853","125±3","6","M72","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA16K-88G-M72-AL","111","512","62","88","0.705","125±3","5","M72","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-79-M95-AL","985","642","88","79.2","1.11","150±3","7","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-44-M95-AL","2121","642","88","44","2","118±3","4.8","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA23K-63-M95-AL","2128","2526","23K(82)","63","1.3","145±3","7.5","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA23K-93.7-M95-AL","2129","2526","23K(82)","93.72","0.875","140±3","9.5","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA24K-58.7-G-M95-AL","3221","642","88(24K)","58.7","1.499","122±2","7.3-32","M95","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA150M-8.9C-G-M72-19.5-AL(8)","3268","512","66.7(150M)","8.9","7.5","49","18.4-32","M72/19.5","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA150M-22.4C-G-M72-19.5-AL(8)","3269","512","66.7(150M)","22.4","3","60.5","8.8-32","M72/19.5","","","","","https://www.coolens.cn/product/003000000.html"
"003000000","DTCA large-format line-scan lens","DTCA150M-8.9-G-M72-19.5-AL","3270","512","66.7(150M)","8.9","7.5","49","18.4","M72/19.5","","","","","https://www.coolens.cn/product/003000000.html"
