"model","manufacturer","lens_type","lens_mount","focal_length_mm","min_wd_mm","distortion_percent","image_circle_mm","megapixel_rating","recommended_min_pixel_um","pmag","nominal_wd_mm","wd_tolerance_mm","max_sensor_diagonal_mm","telecentricity_deg","dof_mm","numerical_aperture","f_number","coaxial_illumination","notes"
"APO-DTJCA25M-2C-110-G","COOLENS","ObjectTelecentric","C","0","0","0.04","20","12","3.45","2","110","0","20","0.1","0","0","0","false","COOLENS DTCA high-performance industrial lens official list; FOV 10 mm"
"APO-DTJCA25M-2X-110-G","COOLENS","ObjectTelecentric","C","0","0","0.04","20","12","3.45","2","110","0","20","0.1","0","0","0","false","COOLENS DTCA high-performance industrial lens official list; FOV 10 mm"
"APO-DTJCA25M-3C-110-G","COOLENS","ObjectTelecentric","C","0","0","0.05","20","12","3.45","3","110","0","20","0.1","0","0","11","false","COOLENS DTCA high-performance industrial lens official list; FOV 6.6 mm"
"APO-DTJCA25M-3X-110-G","COOLENS","ObjectTelecentric","C","0","0","0.05","20","12","3.45","3","110","0","20","0.1","0","0","11","false","COOLENS DTCA high-performance industrial lens official list; FOV 6.6 mm"
"APO-DTJCA25M-4C-110-G","COOLENS","ObjectTelecentric","C","0","0","0.05","20","12","3.45","4","110","0","20","0.03","0","0","0","false","COOLENS DTCA high-performance industrial lens official list; FOV 5 mm"
"APO-DTJCA25M-4X-110-G","COOLENS","ObjectTelecentric","C","0","0","0.05","20","12","3.45","4","110","0","20","0.03","0","0","0","false","COOLENS DTCA high-performance industrial lens official list; FOV 5 mm"
"CS05X110ZJZ","COOLENS","ObjectTelecentric","C","0","0","0.2","11","5","3.45","0.5","110","0","11","0.2","1.5","0","9.6","false","COOLENS DTCA high-performance industrial lens official list; FOV mm"
"CS11063X-V3TF","COOLENS","ObjectTelecentric","C","0","0","0.1","18","12","3.45","0.63","110","0","18","0.1","0","0","7","false","COOLENS DTCA high-performance industrial lens official list; FOV mm"
"CS1X110-TF","COOLENS","ObjectTelecentric","C","0","0","0.04","11","5","3.45","1","108","0","11","0.05","0.6","0","7","false","COOLENS DTCA high-performance industrial lens official list; FOV mm"
"CS20X108ZJZ","COOLENS","ObjectTelecentric","C","0","0","0.04","11","5","3.45","2","108","0","11","0.05","0.2","0","10.5","true","COOLENS DTCA high-performance industrial lens official list; FOV mm"
"CSCT05X180-TFC","COOLENS","ObjectTelecentric","C","0","0","0.6","8","5","3.45","0.5","180","0","8","0.1","3.2","0","10","true","COOLENS DTCA high-performance industrial lens official list; FOV mm"
"CSDT121X6.6-TF","COOLENS","ObjectTelecentric","C","0","0","0.1","20","12","3.45","3.025","61","0","20","0.01","0.1","0","9.4","false","COOLENS DTCA high-performance industrial lens official list; FOV 6.6 mm"
"CST-A7528-5M","CST","FixedFocal","C","75","500","0.05","9","5","3.45","0","0","0","0","0","0","0","2.8","false","CST 1/1.8 5MP FA lens"
"CST-TL11003DH","CST","BiTelecentric","C","0","0","0.025","11","12","16.4","0.3","110","3.3","11","0.1","8.2","0","7.5","true","CST high-resolution bi-telecentric lens"
"CST-TL11003H","CST","BiTelecentric","C","0","0","0.065","11","12","16.4","0.3","110","3.3","11","0.1","8.7","0","7.5","false","CST high-resolution bi-telecentric lens"
"CST-TL11004DH","CST","BiTelecentric","C","0","0","0.011","11","12","13.2","0.4","110","3.3","11","0.25","5.2","0","8","true","CST high-resolution bi-telecentric lens"
"CST-TL11004H","CST","BiTelecentric","C","0","0","0.02","11","12","13.2","0.4","110","3.3","11","0.25","5.2","0","8","false","CST high-resolution bi-telecentric lens"
"CST-TL11005","CST","ObjectTelecentric","C","0","0","0.05","11","12","12","0.5","110","3.3","11","0.1","6.4","0","9.3","false","CST standard object-side telecentric lens"
"CST-TL11005D","CST","ObjectTelecentric","C","0","0","0.05","11","12","12","0.5","110","3.3","11","0.1","6.4","0","9.3","true","CST standard object-side telecentric lens"
"CST-TL11010","CST","ObjectTelecentric","C","0","0","0","11","12","7.4","1","110","3.3","11","0.1","2.2","0","11","false","CST standard object-side telecentric lens"
"CST-TL11010D","CST","ObjectTelecentric","C","0","0","0","11","12","7.4","1","110","3.3","11","0.1","2.2","0","11","true","CST standard object-side telecentric lens"
"CST-TL11020","CST","ObjectTelecentric","C","0","0","0.05","11","12","4.5","2","110","3.3","11","0.1","0.5","0","13.6","false","CST standard object-side telecentric lens"
"CST-TL11020D","CST","ObjectTelecentric","C","0","0","0.05","11","12","4.5","2","110","3.3","11","0.1","0.5","0","13.6","true","CST standard object-side telecentric lens"
"CST-TL11040","CST","ObjectTelecentric","C","0","0","0.05","11","12","3.7","4","110","3.3","11","0.1","0.24","0","22","false","CST standard object-side telecentric lens"
"CST-TL11040D","CST","ObjectTelecentric","C","0","0","0.05","11","12","3.7","4","110","3.3","11","0.1","0.24","0","22","true","CST standard object-side telecentric lens"
"CST-TL11060","CST","ObjectTelecentric","C","0","0","0.02","11","12","4","6","110","3.3","11","0.1","0.18","0","35","false","CST standard object-side telecentric lens"
"CST-TL11060D","CST","ObjectTelecentric","C","0","0","0.02","11","12","4","6","110","3.3","11","0.1","0.18","0","35","true","CST standard object-side telecentric lens"
"CST-TL150022H","CST","BiTelecentric","C","0","0","0.03","11","12","24.1","0.22","150","4.5","11","0.032","17.4","0","8","false","CST high-resolution bi-telecentric lens"
"CST-TL150024H","CST","BiTelecentric","C","0","0","0.03","11","12","22","0.24","150","4.5","11","0.031","14.6","0","8","false","CST high-resolution bi-telecentric lens"
"CST-TL15002H","CST","BiTelecentric","C","0","0","0.03","11","12","26.4","0.2","150","4.5","11","0.039","21","0","8","false","CST high-resolution bi-telecentric lens"
"CST-TL167018H","CST","BiTelecentric","C","0","0","0.014","11","12","10.6","0.188","167","5.01","11","0.009","8.4","0","6.4","false","CST high-resolution bi-telecentric lens"
"CST-TL167022H","CST","BiTelecentric","C","0","0","0.03","11","12","18","0.22","167","5.01","11","0.008","8.4","0","6.4","false","CST high-resolution bi-telecentric lens"
